,name,location,address,price,rating,type,Unnamed: 6,Unnamed: 7,sunday,monday,tuesday,wednesday,thursday,friday,saturday
758,Sto. Rosario Parish,Davao,"Davao City, Philippines",0,0.0,Church,,,,,,,,,
760,Sulu Ethnological Museum,ARMM,"Notre Dame College, Jolo, Philippines",0,0.0,Museum,,,,,,,,,
761,Cathedral Falls,Zamboanga Peninsula,"Xxxx, Kapatagan, Mindanao 9214, Philippines",0,0.0,Waterfall,,,,,,,,,
792,SM City Baliwag,Bulacan,"DRT Highway., Brgy. Pagalam Baliuag, Bulacan, Philippines",0,5.0,Mall,,,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM
797,SM City Marilao,Bulacan,"MacArthur Highway, Ibayo, Marilao, Bulacan, Philippines",0,5.0,Mall,,,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM
802,SM City Pulilan,Bulacan,"Pulilan Diversion Rd., Brgy. Sto. Cristo, Pulilan, Bulacan, Philippines",0,5.0,Mall,,,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM
805,SM City San Jose Del Monte,Bulacan,"Quirino Highway, Brgy. Tungkong Mangga, Bulacan, Philippines",0,5.0,Mall,,,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM
827,SM City Legazpi,Albay,"Imelda Roces Ave., Zone 9, Brgy. 37 Bitano, Legazpi City, Philippines",0,5.0,Mall,,,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM
834,SM City Cagayan De Oro,Misamis Oriental,"Fr. Masterson Ave. cor Gran Via St., Pueblo de Oro Township Uptown Carmen, Cagayan de Oro, Misamis Oriental, Philippines",0,5.0,Mall,,,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM
835,SM CDO Downtown Premier,Misamis Oriental,"Claro M. Recto Ave. Cagayan de Oro, Misamis Oriental, Philippines",0,5.0,Mall,,,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM
836,SM City Davao,Davao,"Quimpo Blvd. cor Tulip and Ecoland Dr., Ecoland Subd., Matina, Davao City, Philippines",0,5.0,Mall,,,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM
837,SM City General Santos,Cotabato,"San Miguel St. Lagao, General Santos City, South Cotabato, Philippines",0,5.0,Mall,,,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM
838,SM Lanang Premier,Davao,"J.P. Laurel Ave., Brgy. San Antonio, Agdao District, Davao City, Philippines",0,5.0,Mall,,,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM
