,name,location,address,price,rating,type,Unnamed: 6,Unnamed: 7,sunday,monday,tuesday,wednesday,thursday,friday,saturday
94,Robinsons Tagaytay,Tagaytay,"Tagaytay Nasugbu Road, Maharlika West, KM 58 Gen. E. Aguinaldo Highway, Tagaytay City",0,4.5,"Market, Mall",,,,,,,,,
96,Robinsons Place Gen Trias,Cavite City,"A. Soriano Highway, EPZA-Bacao Diversion Road General Trias, Cavite",0,4.5,"Market, Mall",,,,,,,,,
113,Robinsons Cabanatuan,Cabanatuan,"KM 111, Barangay H. Concepcion, Maharlika Hi-way Cabanatuan City",0,4.5,"Market, Mall",,,,,,,,,
118,Robinsons Place Pavia,Iloilo,"Pavia, Iloilo",0,4.5,"Market, Mall",,,,,,,,,
119,Robinsons Place Tuguegarao,Cagayan,"Tanza Tuguegarao City, Cagayan",0,4.5,"Market, Mall",,,,,,,,,
121,Robinsons Galleria South,San Pedro,"Km. 31, National Highway, Brgy. Nueva, San Pedro, Laguna",0,4.5,"Market, Mall",,,,,,,,,
126,Tagaytay,Tagaytay,,0,4.4,Mountain,,,,,,,,,
128,City of Angeles,Angeles,,0,4.5,Town,,,,,,,,,
137,Pagsanjan,Pagsanjan,,0,4.3,Waterfall,,,,,,,,,
139,University of the Philippines Manila,Manila,,0,4.4,School,,,,,,,,,
142,Ayala Triangle Gardens,Manila,,0,4.7,Garden,,,,,,,,,
146,Vigan City,Vigan,Ilocos Sur,0,4.9,Ancient Settlement,,,,,,,,,
155,Manila American Cemetery and Memorial,Manila,,0,4.4,"Memorial Hall, Cemetery",,,,,,,,,
166,Landmark Makati,Makati,,0,4.3,,,,,,,,,,
167,Tagaytay,Tagaytay,,0,4.4,Mountain,,,,,,,,,
168,Bundok Pinatubo,Zambales,,0,4.4,Volcano,,,,,,,,,
170,Banaue Rice Terraces,Banaue,,0,5.0,Historical Site,,,,,,,,,
171,Philippine International Convention Center,Manila,,0,4.2,Modern Architecture,,,,,,,,,
172,Rizal Shrine,Manila,,0,4.3,Museum,,,,,,,,,
177,Manila Yacht Club,Manila,,0,4.2,Marina,,,,,,,,,
178,Japanese Garden,Manila,,0,4.4,Garden,,,,,,,,,
181,Enterprise Center,Manila,,0,4.6,,,,,,,,,,
